venue,release_month,threshold,bid,ask,mid,spread,volume,open_interest,quote_age_seconds,liquidity_score,confidence_score,market_id,question
Kalshi,Apr 2026,0.2,0.90,0.96,0.93,0.06,4200,9800,36,0.88,0.72,KX-APR-T0.2,Will CPI rise more than 0.2% in Apr 2026?
Kalshi,Apr 2026,0.4,0.52,0.60,0.56,0.08,3800,8200,36,0.85,0.63,KX-APR-T0.4,Will CPI rise more than 0.4% in Apr 2026?
Kalshi,Apr 2026,0.6,0.18,0.26,0.22,0.08,2900,6400,36,0.78,0.56,KX-APR-T0.6,Will CPI rise more than 0.6% in Apr 2026?
Kalshi,May 2026,0.0,0.62,0.68,0.65,0.06,1800,4100,58,0.72,0.72,KX-MAY-T0.0,Will CPI rise more than 0.0% in May 2026?
Kalshi,May 2026,0.2,0.32,0.40,0.36,0.08,1500,3600,58,0.68,0.56,KX-MAY-T0.2,Will CPI rise more than 0.2% in May 2026?
Kalshi,Jun 2026,0.0,0.58,0.66,0.62,0.08,900,2200,80,0.58,0.63,KX-JUN-T0.0,Will CPI rise more than 0.0% in Jun 2026?
Kalshi,Jun 2026,0.2,0.28,0.38,0.33,0.10,750,1800,80,0.52,0.50,KX-JUN-T0.2,Will CPI rise more than 0.2% in Jun 2026?
Kalshi,Jul 2026,0.0,0.54,0.64,0.59,0.10,600,1400,102,0.48,0.56,KX-JUL-T0.0,Will CPI rise more than 0.0% in Jul 2026?
Polymarket,Apr 2026,0.3,0.82,0.92,0.87,0.10,7200,54000,82,0.90,0.50,PM-APR-T0.3,Will US CPI exceed 0.3% in Apr 2026?
Polymarket,Apr 2026,0.5,0.54,0.66,0.60,0.12,5400,41000,82,0.86,0.45,PM-APR-T0.5,Will US CPI exceed 0.5% in Apr 2026?
Polymarket,Apr 2026,0.7,0.28,0.42,0.35,0.14,4100,32000,82,0.82,0.42,PM-APR-T0.7,Will US CPI exceed 0.7% in Apr 2026?
Polymarket,May 2026,0.1,0.78,0.90,0.84,0.12,6800,48000,91,0.88,0.45,PM-MAY-T0.1,Will US CPI exceed 0.1% in May 2026?
Polymarket,May 2026,0.3,0.46,0.60,0.53,0.14,4200,31000,91,0.80,0.42,PM-MAY-T0.3,Will US CPI exceed 0.3% in May 2026?
Polymarket,Jun 2026,0.1,0.72,0.86,0.79,0.14,3800,28000,88,0.82,0.42,PM-JUN-T0.1,Will US CPI exceed 0.1% in Jun 2026?
Polymarket,Jun 2026,0.3,0.40,0.56,0.48,0.16,3200,22000,88,0.78,0.38,PM-JUN-T0.3,Will US CPI exceed 0.3% in Jun 2026?
Polymarket,Jul 2026,0.1,0.68,0.84,0.76,0.16,2800,19000,95,0.76,0.38,PM-JUL-T0.1,Will US CPI exceed 0.1% in Jul 2026?
Polymarket,Jul 2026,0.3,0.36,0.54,0.45,0.18,2400,16000,95,0.72,0.35,PM-JUL-T0.3,Will US CPI exceed 0.3% in Jul 2026?
